Fx,Fy,Fz,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
0.75,0.0,0.0,4423.592856036716,4425.309678503162,4414.756033907559,4421.007147251935,4417.309158942738,4416.133456627069,4414.078277746048,4413.090467553646,4413.109503792641,4413.0453746225,4413.050717061758,4412.900285869693,4412.849662001898,4412.83024585166,4412.773753736348
0.75,0.25,0.0,4426.020432140018,4418.0337024896835,4445.049013262767,4426.263299346212,4420.181088593751,4418.443347598984,4418.035016115973,4418.492949286339,4418.061064653938,4417.826660629618,4417.279896480075,4417.485669301673,4417.486593073592,4417.290442809832,4417.230249323956
0.75,0.5,0.0,4432.677834298313,4430.780431483376,4425.317908281747,4428.985827140608,4426.199785547876,4424.450415566022,4424.803913433135,4424.114830505476,4422.679442474402,4422.6910538880065,4422.639711352387,4422.223582057438,4422.18420611007,4422.230882679431,4422.08397088718
0.75,0.75,0.0,4446.702644316269,4416.632811830565,4416.58995362981,4423.4104120070215,4414.383613175675,4414.198150463984,4413.048944193691,4413.608735941036,4412.953231958097,4413.128952397237,4412.954297402833,4412.9302075555115,4412.915659990692,4412.9176750699235,4412.91771032488
0.75,1.0,0.0,4420.9272302426825,4424.8330406077575,4418.428464658468,4413.922666880723,4416.008536560906,4413.871494282801,4415.685950900711,4415.536553967798,4414.111646430378,4413.57458852096,4413.569861997125,4413.732314485218,4413.527299856174,4413.529680956118,4413.545605014069
1.0,0.0,0.0,4411.910048044077,4411.563871383758,4411.963651067115,4414.405921961942,4405.8363646082935,4404.614758967559,4403.885080491753,4404.673274312191,4403.936244475592,4403.489504370122,4403.230157729297,4403.107214029109,4403.0229310697505,4402.803093387404,4402.7039890509395
1.0,0.25,0.0,4408.309777652882,4405.888435181134,4413.522151623824,4413.099904649171,4404.609206036572,4406.240093461389,4405.611657457394,4403.046333296868,4403.062078491348,4403.126565763368,4402.85258519832,4402.853782136174,4402.65015881618,4402.553686815899,4402.5088810333855
1.0,0.5,0.0,4415.86991650922,4431.508896797566,4419.341600184443,4409.806684949108,4416.928548434189,4410.845700516263,4411.403324937306,4409.699144688992,4409.653262288924,4409.494681077023,4409.528709606031,4409.489581761452,4409.471055811243,4409.456439752384,4409.442448440831
1.0,0.75,0.0,4418.401086685478,4410.445061212155,4419.615443945992,4412.9505743164555,4421.620965367198,4410.858025843945,4410.454738329659,4412.354038534084,4409.522013525189,4409.814165320247,4409.629193471422,4409.554685860988,4409.393078865454,4409.545931919245,4409.377297365789
1.0,1.0,0.0,4417.943004554483,4418.525418272191,4420.054971932995,4410.235829855874,4412.48473348809,4410.663768872365,4409.616939943715,4409.644566649239,4409.366402273831,4409.464220223411,4409.370105764529,4409.364037931836,4409.368037311308,4409.322820121267,4409.1264552090515
