Fx,Fy,Fz,cost,best_th1,best_th2,best_th3,best_th4,best_th5,best_th6,best_th7,q1,q2,q3,q4,q5,q6,q7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,x,y,z,roll,pitch,yaw
0.0,0.0,0.0,SKIPPED,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY
0.0,1.0,0.0,2.749888503275646,-0.3911618876557319,-2.199114857512855,-0.6819775892871451,0.5501398592761582,3.141592653589793,-0.007635881076279771,2.0769167035101304,-0.9193933957790512,0.5734088113091245,0.11295363312974506,1.5225137983506725,6.210009676535225,-2.088947567427045,0.7873318739650885,[0.35038037],[-19.33204824],[0.97406071],[-8.01083482],[-0.1258972],[-0.16516234],[-0.00020879],0.3499941795874449,0.35910519948070885,0.6499972308327575,-0.0005137216420922414,0.0037145909456467374,0.0005819989212444638
0.0,2.0,0.0,2.7757347139234514,2.6303405238978943,-1.9651949011206544,-0.6787944241180348,-2.1804542965981395,0.3835991666888976,-2.0409259721861,-1.7328957853575986,-1.5017733929079933,1.0186227116147708,1.4115248619994916,1.5182163594096398,5.275753553789613,-1.678225545724946,0.05997212338196015,[0.70026447],[-19.15815489],[8.10356496],[-4.40333642],[-0.3803756],[-0.02218509],[-3.42366517e-06],0.3500057616501087,0.368204913178669,0.6499667857062206,-4.502387053966555e-05,5.406136673345879e-05,-6.85203827584464e-05
0.0,3.0,0.0,2.9470333413843957,2.879392993435904,2.199114857512855,-2.3899628439737213,-0.35608646306130476,-2.6763817258516873,0.5035408701578017,-2.6972250366860697,-0.6484119483812405,1.7744183276524534,3.430314657935312,1.4609630700828924,2.3916343881969913,-0.42052088400666515,1.4119335756293814,[1.05004347],[-23.52089104],[-4.10394988],[3.68358593],[-0.0294355],[-0.56300893],[-0.00021819],0.3499934817901757,0.37727882180255234,0.6500003736981562,-0.004043391010003607,0.0038030130343227144,-0.0004319659136518661
0.0,4.0,0.0,2.7330359714485195,-1.409330774303179,-1.3792470245811719,-2.0780627319386094,0.4190909051630339,2.4325972142041894,1.6718642191331101,-1.1751977751881446,-1.5071477659818446,1.1086746004424026,1.5142083581961472,1.4663579529287685,5.177687350181777,-1.5743689188249097,0.05493077859417828,[1.39973604],[-20.72635695],[8.72622425],[-3.03013617],[-0.71690225],[-0.03932684],[-1.66784124e-05],0.34999218414685107,0.3863426486558693,0.6500396950180901,2.652345968644545e-06,0.00030301137926997,9.354951887810537e-05
0.0,5.0,0.0,2.6032163668764,0.23889823110756336,-0.8109355834207995,1.0173597581872933,-0.08853939009848888,-3.141592653589793,-0.9950432367646547,0.19600981445450594,-0.2926732568758522,0.9319968105145113,5.031042065963054,1.3868728180188599,0.8784728219100062,-1.709296910004949,1.5232244492770437,[1.74953169],[-20.31725353],[-7.1946164],[-6.30836319],[-0.03583813],[-0.8925698],[-2.63373582e-06],0.35002726271008877,0.39546304767152934,0.6499659882223795,-0.00015581204225657654,4.135121252071736e-05,4.7572639825798434e-05
