Fx,Fy,Fz,cost,best_th1,best_th2,best_th3,best_th4,best_th5,best_th6,best_th7,q1,q2,q3,q4,q5,q6,q7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,x,y,z,roll,pitch,yaw
0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.1405915448218972,0.9828719821758317,4.84691617236896,1.5141795569934096,0.9741400590931504,-1.6509505230481514,1.5892876104015348,-0.00036779576066553574,-18.449198003802778,-7.573944948864497,-5.189877483465379,0.007458111797875424,-0.05586157669645812,-1.0802348671978303e-06,0.35002423002896943,0.35001018953685925,0.6499624069880299,4.177438245396564e-05,1.93551248689753e-05,5.1696951222252395e-05
0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.16402446451927227,0.9952428227302512,4.84427014581619,1.4898011059269956,0.9852462665075434,-1.6367739002908284,1.594805177889794,0.3496639488786454,-18.809042958700847,-7.739243211487314,-5.1851937596896756,0.011771272964708748,-0.2233079404132155,-1.140391659253077e-06,0.35002261542241175,0.35910090516766063,0.649963847561269,2.6667285898796523e-05,1.9876365013435697e-05,4.3178266725247275e-05
0.0,2.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.18735929553169,1.0076822659371554,4.8413070427080855,1.4647631755267805,0.9967079549810459,-1.6224225398821006,1.5995092419133161,0.6996928515332657,-19.1898554594104,-7.908697003854956,-5.175431308530316,0.017624648522038162,-0.39071308693389767,-1.1841695047088742e-06,0.3500210169941713,0.3681915606192954,0.649965360183599,1.0880550222031036e-05,2.0080811454916855e-05,3.4956533162466124e-05
0.0,3.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.21061726864468294,1.0201835858324515,4.838009303853899,1.4390469610185492,1.008552335705485,-1.6079017257253054,1.6033888243103565,1.049717998176859,-19.5913987336362,-8.081212957276323,-5.16050600123945,0.024604102967469402,-0.5580819544262979,-1.2115526350891788e-06,0.35001947430749686,0.3772821653993001,0.6499668949268252,-6.21974424242549e-06,1.993249206813896e-05,2.6891375071638492e-05
0.0,4.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.23490177077125285,1.0260185258575267,4.844896377940419,1.4129127824750993,1.0124322333587894,-1.60050537113231,1.6022210736984215,1.4000127601210852,-19.990147544178416,-8.197541312337336,-5.210251466412655,0.029094674300948184,-0.7264679857805549,-5.723942335232753e-07,0.34997481969623456,0.3863511405564538,0.650044318336352,-0.000393040511682322,4.1362869855541916e-07,-0.000102448073334683
0.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.25796527843323236,1.0390918574541033,4.840311345334689,1.3857532278456768,1.025526435276357,-1.585205329375649,1.604795740522295,1.7499809006654463,-20.434458484935078,-8.374562014146402,-5.183739411235788,0.03667780933610105,-0.8937386706300627,-6.158362765175786e-07,0.34997685525290534,0.3954424498013924,0.6500423177533976,-0.00038141144616101667,1.7409963078451904e-06,-9.196278688097012e-05
0.0,6.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.28103366373096117,1.0521836408124907,4.835354539248792,1.357840500670427,1.0390859807915007,-1.5697731142351692,1.6064731958796021,2.099953148966114,-20.898735119564517,-8.551147596279838,-5.151632707952794,0.04418194869991679,-1.061013192615817,-7.252577074079621e-07,0.3499787680954339,0.4045337691511173,0.6500403925787527,-0.0003721515585837387,4.1911774667572695e-06,-8.224731028234044e-05
0.0,7.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.30413567560357335,1.0652827512415146,4.83000917285515,1.329142074357937,1.0531462467558457,-1.5542202044850781,1.6072295833790895,2.4499287434418573,-21.38284543647466,-8.72583268686928,-5.11378751958871,0.051121876816299955,-1.2283124614167085,-9.052517810052168e-07,0.3499805821261725,0.41362510217346315,0.6500385082631079,-0.0003657977335834659,7.822347346561243e-06,-7.335877015691784e-05
0.0,8.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.32730236661604634,1.078376314498656,4.82425915439456,1.2996207648693254,1.0677445882992915,-1.5385603486665085,1.6070365787966634,2.799907171980119,-21.886684251016696,-8.897034302454966,-5.0700568165261,0.05699092084432498,-1.3956580155216947,-1.1620528180254254e-06,0.3499823141817722,0.42271645315329465,0.6500366368269872,-0.0003629500528381651,1.2723343755344775e-05,-6.5332764453986e-05
0.0,9.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.350568134564631,1.0914444599370814,4.818097935950062,1.2692341708640276,1.0829131144132011,-1.5228157572233951,1.6058580899079882,3.149888930007013,-22.410155090255202,-9.062982799838933,-5.020365234746823,0.06125371582810757,-1.5630699347988157,-1.5106070692117444e-06,0.3499839339351435,0.43180780723160667,0.6500348321321797,-0.0003642949114843285,1.916352164464009e-05,-5.8117320086355695e-05
0.0,10.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.37396908546072893,1.1044712764219593,4.811509710008411,1.237933609226858,1.0986943771891615,-1.507004308776282,1.6036563355101199,3.4998737447566124,-22.953211248524788,-9.221817886484857,-4.964569978628285,0.06335112898070493,-1.7305643682291008,-1.9681590884808114e-06,0.34998545014634774,0.44089916558359066,0.650033080146686,-0.0003707754608125866,2.742912901403725e-05,-5.17051160432545e-05
0.0,11.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.3975442291876179,1.117440607756341,4.804475607020725,1.2056631516048426,1.1151367582378398,-1.491144374490162,1.6003885519991794,3.8498613032562186,-23.515842023113713,-9.371531793081669,-4.90250323870024,0.06269429643277409,-1.8981506093398095,-2.558270184088913e-06,0.3499868786480621,0.44999053576023595,0.650031347871908,-0.0003836370742437423,3.7908991635825635e-05,-4.608945410134522e-05
0.0,12.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.4213363411770971,1.1303332285431447,4.796977996693345,1.1723585319740772,1.1322910881565729,-1.475258021108406,1.5960048284969135,4.199851780678273,-24.098061044937936,-9.509918115019296,-4.834010862837725,0.058658278553662575,-2.0658279143114764,-3.3222436682178117e-06,0.3499882187709072,0.4590819206885402,0.6500296253248115,-0.00040461772848599534,5.131259065120506e-05,-4.121261843456232e-05
0.0,13.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.4453919296236746,1.1431303588340693,4.788993083232457,1.1379457963854949,1.150217052141869,-1.4593664841657288,1.5904493122142442,4.549845706476068,-24.69991466933489,-9.634586211624477,-4.758890619062625,0.05058129371136834,-2.233582056784778,-4.333917798712004e-06,0.3499894755211204,0.468173333826282,0.6500278727156827,-0.00043639903492303345,6.892059426759817e-05,-3.697553308148479e-05
0.0,14.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.46925259502565647,1.1594474495993288,4.773142552893252,1.1025135983306822,1.1750959117650805,-1.4388589534838567,1.5854605815503953,4.900171545547027,-25.330357719689196,-9.786003416592742,-4.605003077166816,0.04245346223563277,-2.4020159282575735,-1.3889105374824238e-05,0.3500108317261711,0.4772869467873958,0.6499652823529293,-0.0007415906348614516,0.0002320806720897842,-2.0694763680930026e-05
0.0,15.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.49405215730127405,1.1714777345314744,4.7649000528186,1.0656633657623926,1.194139905135253,-1.4235754568237573,1.5770747732709716,5.250177047156521,-25.97024343239053,-9.870115488097733,-4.52142180994333,0.023654475327068224,-2.5699866419765685,-1.5604557770044495e-05,0.35000933427662095,0.486377214498539,0.6499677870315264,-0.0008627425537763455,0.00025947212420394483,-2.7737378194744645e-05
0.0,16.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.5192815164534498,1.1833577627216054,4.756097412220668,1.027398441081645,1.2141588633581861,-1.4083599244180645,1.5673161024028335,5.600180113873386,-26.630240916057804,-9.931665614595344,-4.431194217909408,-0.0015177611313183697,-2.737833121271113,-1.7854050356536658e-05,0.3500079967154833,0.49546750662909156,0.6499702451400966,-0.0010028908313384141,0.00029592651517832574,-3.3688462796676687e-05
1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.13804468701553335,0.996906023891685,4.841690938116736,1.4897886304563532,0.9871973531318564,-1.6348572791954363,1.570343090491524,-0.3503686058005668,-19.11395483963102,-7.792628182479133,-4.842047296008509,0.17352197596665503,-0.05594358859831057,-1.1034040748950915e-06,0.35911375336817264,0.35000950377225754,0.6499636731381319,3.05261610984137e-05,1.9269256806251884e-05,4.394542292547947e-05
1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.1614640725397177,1.0089456741810605,4.838911672895668,1.4653778424563921,0.9983023412181443,-1.6209566783759173,1.5754873995059697,-0.00033832599748325425,-19.467971172186818,-7.945945697165171,-4.8369956148506565,0.17472023009977902,-0.22258317112209203,-1.168683865068916e-06,0.35911220576509656,0.3591002251724185,0.6499651222335316,1.4931068212361284e-05,1.9868318334897203e-05,3.587040770537281e-05
1.0,2.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.18480630308302837,1.0210604500199942,4.835810026568331,1.4402916138767465,1.0097848897234944,-1.6068774460578144,1.5798244858417838,0.3496888168870237,-19.842905361115754,-8.102781650788454,-4.826748473864452,0.1772975293898069,-0.38934834180012834,-1.2191574125278127e-06,0.35911069120337225,0.36819089151898465,0.649966617320577,-1.6509331112640116e-06,2.0163088126419065e-05,2.803168919232776e-05
1.0,3.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.20809347052294533,1.0332383483754084,4.832375660510438,1.4145096328729334,1.0216669341397544,-1.5926311362752155,1.5833378406992387,0.6997127005657725,-20.238525670899907,-8.261994168816974,-4.811269599990373,0.1808409692454935,-0.5562391411580008,-1.2560710511667027e-06,0.35910921273251,0.3772815013005901,0.6499681640328854,-1.9502393220016712e-05,2.0165232607079778e-05,2.0416966522144107e-05
1.0,4.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.23232002092943085,1.0391169100335038,4.838703465247877,1.3882756751644663,1.0258903808513098,-1.5851645118811388,1.5821296723482823,1.0500056786661227,-20.632490068789807,-8.370423618335632,-4.861665286303325,0.18198342165533632,-0.7248442558904682,-1.0167869994896978e-06,0.3590672526609469,0.3863519229424503,0.6500428236201504,-0.0003837056493691421,8.855339559233966e-06,-9.39049015585127e-05
1.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.2554618789820154,1.0518647948336983,4.833976418864526,1.3610113357642857,1.0390659662624517,-1.570139897828893,1.584319846633578,1.3999750343593964,-21.070773275490236,-8.532676673997992,-4.834011937032311,0.18587282131998417,-0.8918747810326965,-1.0946380958017424e-06,0.3590691679021276,0.39544318606070716,0.650040898040241,-0.000374396054294476,1.0725701046505892e-05,-8.430206513118863e-05
1.0,6.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.2786293862468355,1.064634882830832,4.8288714556219805,1.332970930906976,1.0527319995403421,-1.554982734838397,1.5856096785041998,1.749947777716138,-21.52906248949384,-8.693768517477855,-4.800657183108772,0.18951517475025653,-1.0590622160927412,-1.24284959099349e-06,0.35907099250973556,0.40453446986151814,0.6500390037454757,-0.0003677759774720117,1.377784094084128e-05,-7.548846205878832e-05
1.0,7.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.30185243591790295,1.0774107010611031,4.823379156243883,1.3041196490023992,1.0669185448742546,-1.5397107315196743,1.5859697618996642,2.0999239993383654,-22.007224039024006,-8.85216099332667,-4.761518337669321,0.19241974240317522,-1.2264221118010985,-1.4702927870240612e-06,0.35907271396091694,0.413625766555584,0.6500371634566339,-0.0003643734170007401,1.816455342027288e-05,-6.746048639282293e-05
1.0,8.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.32516290644219104,1.0901760614667542,4.817487732386207,1.2744176564482101,1.081660051576365,-1.5243415774015172,1.5853676025881176,2.4499036142189765,-22.50515638112254,-9.00620723002531,-4.716495599353684,0.19407307156012,-1.3939701238445497,-1.7891614331404617e-06,0.3590743286228281,0.4227170710255559,0.650035386332336,-0.00036485177641556863,2.409265871697166e-05,-6.021223818109388e-05
1.0,9.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.3485946382590476,1.102917270886089,4.811178563413248,1.2438192439454907,1.0969994398045844,-1.508890301713035,1.5837682536004862,2.799886025541655,-23.022800233415172,-9.15416247491397,-4.665433483021761,0.1939384131146321,-1.5617195508591957,-2.2125616765904363e-06,0.3590758602306493,0.43180839124357856,0.6500336300786237,-0.0003700702999592565,3.176614455201936e-05,-5.377088214445853e-05
1.0,10.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.3721850617032903,1.1156150642919989,4.804439614107218,1.212272105051215,1.1129771717204566,-1.4933786982044055,1.58112920509792,3.1498714380677963,-23.560108697879535,-9.294090171632725,-4.608231079950799,0.1914469190937776,-1.7296794226482268,-2.765733373273247e-06,0.3590772966755409,0.4408997211502748,0.650031914088078,-0.0003811297462742423,4.162246827764986e-05,-4.809436930155835e-05
1.0,11.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.39597446741622067,1.1282517075484244,4.797252547002576,1.1797160434641683,1.1296423197997534,-1.4778269145142044,1.5774037819065263,3.4998597625639576,-24.11707468266681,-9.423912197518305,-4.544739352104856,0.18599896659945042,-1.8978509198907545,-3.4835736122804437e-06,0.35907864577582166,0.44999106586573945,0.6500302161376561,-0.0003995574768337139,5.425403330032648e-05,-4.315557220266499e-05
1.0,12.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.42000688455338175,1.1408087416520756,4.7895955465860425,1.1460817703492876,1.1470505257267092,-1.4622558455516341,1.5725390874118326,3.849851204262539,-24.693720330433006,-9.541365796888815,-4.474782704589919,0.17695879947158205,-2.0662242855269426,-4.424593734862365e-06,0.35907991491641955,0.4590824362238453,0.650028501301851,-0.0004275818109242651,7.066782954532563e-05,-3.889659483292243e-05
1.0,13.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.4438069838544903,1.1570727563937035,4.773816791704293,1.1114510359083292,1.1715990752357632,-1.4418674065039354,1.5683673621878138,4.2001489594082795,-25.299657647440398,-9.686072752757088,-4.323783393269484,0.16818413359277792,-2.2351230231024233,-1.42659424731344e-05,0.3591024243422049,0.46819609912781035,0.6499643873101382,-0.0007086244322388666,0.0002396299422987601,-1.946898950190418e-05
1.0,14.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.46853414511278657,1.1688935858249803,4.765938074043059,1.0754578179029803,1.1900592799862373,-1.4268749424367102,1.560745060126905,4.550156484341142,-25.914261855387938,-9.76654354029614,-4.2457113310630135,0.1494718762445893,-2.4040337426986267,-1.5937371001229595e-05,0.3591008591318591,0.4772863712611273,0.6499669679515122,-0.0008233283792844154,0.00026641375006731285,-2.6915659597929128e-05
1.0,15.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.4936587636474163,1.1805890806030814,4.75750760273451,1.0381029822339436,1.2094634103793338,-1.4119228237655388,1.551799636260817,4.900161747485476,-26.548927993895944,-9.826386428618662,-4.1610504294351065,0.1249432104323287,-2.5729872284415904,-1.8096249456341364e-05,0.35909948533971486,0.4863766949325046,0.6499694013155151,-0.0009568107359185197,0.00030142489818055874,-3.3309123448235015e-05
1.0,16.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.5192529026034756,1.1921289722529445,4.748498343540904,0.9992535716508172,1.2298937987132263,-1.3970488911361285,1.5414348807355607,5.2501648330689195,-27.203831271443903,-9.862145132027013,-4.069632795029944,0.09374502304930532,-2.741859386533696,-2.0955261299314897e-05,0.3590982892625476,0.4954670637141625,0.6499717427689431,-0.001111133398902374,0.0003484089285932221,-3.883561118629425e-05
2.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.13610593964217296,1.010874856390113,4.8362858517130585,1.4647393635626778,1.0005305010594097,-1.6187180445157288,1.5510983628761617,-0.700368413535442,-19.782702728122022,-7.996186636549042,-4.484029852614457,0.33980273028425045,-0.06245482120034237,-1.146738507326302e-06,0.36820330511272914,0.3500088590921089,0.6499649651590049,1.826235902363678e-05,1.951409184137666e-05,3.6389766786797746e-05
2.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.15951551961118865,1.022589165249526,4.833371056519668,1.4402801411974278,1.0116535650650569,-1.6050922695148981,1.555861677670941,-0.3503394518202216,-20.13127591522017,-8.137325000863438,-4.478751256414223,0.337782048725191,-0.22835105767747527,-1.2190294408677698e-06,0.3682018199121648,0.35909958309511253,0.6499664277292055,2.251665534736342e-06,2.023209046562425e-05,2.8826581001226488e-05
2.0,2.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.1828691448204941,1.03438304145977,4.830130008552397,1.4151285115341539,1.0231748981755884,-1.5912858882986636,1.5598213056783776,-0.00031398270741472215,-20.50070182698168,-8.281310706503312,-4.468169991247679,0.33697499340984566,-0.3945342675039694,-1.2787504077586473e-06,0.3682003798086803,0.368190253225957,0.649967919354542,-1.5177148995040104e-05,2.0664462165988023e-05,2.1393083100537173e-05
2.0,3.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.2071599086037821,1.0397931097867563,4.836799406752334,1.389531851906604,1.02692578116245,-1.5843587576164073,1.5590252156725708,0.35002902026274846,-20.86789096805086,-8.37940671824783,-4.525900161167922,0.3346329134166901,-0.56322511764553,-1.4335923676059878e-06,0.3681577877447853,0.37726145178061055,0.6500431744271994,-0.0003853610056265341,1.6262337567247715e-05,-9.542451613054554e-05
2.0,4.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.23036532124756737,1.0521793411513418,4.832295885528555,1.3629094411768643,1.0397204556276987,-1.56975737022913,1.561694246654309,0.6999963101861739,-21.28032171614721,-8.527067764262501,-4.502937864315708,0.3346524175398762,-0.7297713834453645,-1.483817045279536e-06,0.36815967166552716,0.3863526512037421,0.6500412914300882,-0.0003761106967338579,1.7631313052976135e-05,-8.595302979204253e-05
2.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.2535909335165186,1.064599641906764,4.827429416573285,1.3355191071961143,1.0529929137243599,-1.5550151373750398,1.5634817988856453,1.0499674448990026,-21.712901166310647,-8.674197088152946,-4.474329983460232,0.3347170744281933,-0.8966158842896992,-1.606716290629347e-06,0.3681614517958901,0.3954438687309019,0.6500394695194078,-0.00036933568616747303,2.0239965314419362e-05,-7.719815230316456e-05
2.0,6.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.27686360443783525,1.0770448974085474,4.822178867141717,1.3073279645308338,1.0667811033366097,-1.5401409685838847,1.56436375538491,1.3999412587192759,-22.16551240709324,-8.819396270402333,-4.439918336987157,0.33435804767758304,-1.0637663823833414,-1.8062867408765967e-06,0.3681631720867157,0.40453511621385674,0.6500376357856809,-0.0003656007911117877,2.4124474498798046e-05,-6.924139198835971e-05
2.0,7.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.30021428655386184,1.0894942036223267,4.816540835449261,1.2782986286818356,1.0811109113601411,-1.525157792825767,1.5643057800943632,1.7499185471868366,-22.638022200673763,-8.961062791751312,-4.3996775215578,0.3330788319229447,-1.2312341124920085,-2.09655851150621e-06,0.36816479049858136,0.4136263766645864,0.6500358612286259,-0.0003654671252954055,2.954437039729205e-05,-6.203116569149185e-05
